Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Centralized CNN-GRU,0.9995,0.9996094343307224,0.9998480770900252,0.9997287414689192,0.9997140107081869
Autoencoder,0.12584,0.9736,0.05282576612553173,0.10021409749670619,
Federated CNN-GRU,0.99913,0.9997394504575902,0.9993163469051133,0.9995278539060592,0.9999089723586586
